Date,Channel,Sessions,Revenue,AOV,CPA
42560,Channel A,1107,18499,76.17,7
42560,Channel B,85,769,76.32,16
42560,Channel C,2850,18248,67.89,12
42560,Channel D,2493,18021,80.91,16
42559,Channel A,1320,24694,80.01,3
42559,Channel B,180,1760,78.02,29
42559,Channel C,1350,14980,73.26,5
42559,Channel D,4594,54581,83.86,15
42558,Channel A,2096,38339,79.63,4
42558,Channel B,197,2085,92.41,27
42558,Channel C,4265,31520,69.64,12
42558,Channel D,4876,57369,83.87,12
42557,Channel A,2450,44409,77.94,4
42557,Channel B,373,2284,83.47,25
42557,Channel C,3639,29424,66.92,5
42557,Channel D,4841,56744,81.08,11
42556,Channel A,2255,40676,76.76,7
42556,Channel B,156,2100,79.54,26
42556,Channel C,3621,28232,66.46,8
42556,Channel D,4821,53003,80.84,12
42555,Channel A,1071,15823,73.26,9
42555,Channel B,61,771,84.54,29
42555,Channel C,1956,16707,77.69,5
42555,Channel D,2048,19811,80.61,20
42554,Channel A,858,12180,74.63,3
42554,Channel B,50,408,65.44,28
42554,Channel C,731,7754,77.66,9
42554,Channel D,1738,13457,80.33,11
42553,Channel A,1028,13539,73.07,3
42553,Channel B,63,758,71.75,29
42553,Channel C,2166,15844,73.52,7
42553,Channel D,2226,19885,82.69,19
42552,Channel A,1917,34798,79.32,6
42552,Channel B,136,1439,73.1,32
42552,Channel C,1181,14631,75.26,6
42552,Channel D,4201,42523,82.64,17
42551,Channel A,2471,42583,74.86,3
42551,Channel B,166,2207,75.39,23
42551,Channel C,3289,33999,75.59,10
42551,Channel D,4978,53324,82.78,12
42550,Channel A,2660,51024,75.82,8
42550,Channel B,176,2074,77.17,23
42550,Channel C,3705,34877,68.29,9
42550,Channel D,5023,54823,81.82,17
42549,Channel A,2762,49724,76.17,6
42549,Channel B,180,2094,76.52,27
42549,Channel C,1963,26322,72.06,11
42549,Channel D,4996,57259,81.26,20
42548,Channel A,2762,51672,72.93,3
42548,Channel B,178,2383,71.96,29
42548,Channel C,4485,40734,65.99,5
42548,Channel D,5044,55956,79.96,13
42547,Channel A,1286,20694,73.45,9
42547,Channel B,63,584,67.59,20
42547,Channel C,946,11099,75.81,5
42547,Channel D,2221,21257,79.22,18
42546,Channel A,1172,17639,77.69,7
42546,Channel B,63,504,74.98,26
42546,Channel C,2477,18242,74.66,7
42546,Channel D,2305,17680,78.37,20
42545,Channel A,2205,41429,78.82,6
42545,Channel B,136,1723,83.46,25
42545,Channel C,2026,18816,73.13,9
42545,Channel D,4333,46426,84.18,18
42544,Channel A,2478,46240,76.76,9
42544,Channel B,173,2680,87.24,31
42544,Channel C,3284,30359,75.39,6
42544,Channel D,4903,54998,84.56,19
42543,Channel A,2801,51944,76.05,10
42543,Channel B,180,2252,73.29,18
42543,Channel C,4385,31277,63.45,7
42543,Channel D,5152,60190,82.28,12
42542,Channel A,2843,51293,75.1,4
42542,Channel B,159,2121,80.36,23
42542,Channel C,1462,16649,67.88,9
42542,Channel D,5203,57897,80.95,19
42541,Channel A,2883,53879,74.68,3
42541,Channel B,166,2514,80.58,30
42541,Channel C,4380,32973,62,7
42541,Channel D,5208,61572,79.97,19
42540,Channel A,1276,20899,73.79,10
42540,Channel B,84,992,71.24,27
42540,Channel C,762,8836,75.76,8
42540,Channel D,2424,21084,79.72,14
42539,Channel A,1505,24275,76.16,10
42539,Channel B,90,771,73.02,18
42539,Channel C,2174,17968,74.42,8
42539,Channel D,3204,27196,79.35,19
42538,Channel A,2666,49316,76.62,8
42538,Channel B,210,2294,78.34,22
42538,Channel C,1347,19666,78.34,9
42538,Channel D,5393,59927,81.55,14
42537,Channel A,3053,56497,77.23,4
42537,Channel B,298,2489,72.03,16
42537,Channel C,3073,33349,74.15,10
42537,Channel D,5880,67834,80.99,12
42536,Channel A,3338,63223,77.25,3
42536,Channel B,335,3041,72.81,19
42536,Channel C,3902,33579,68.38,5
42536,Channel D,5774,68145,79.98,17
42535,Channel A,3265,58916,74.21,9
42535,Channel B,346,4075,101.07,23
42535,Channel C,1688,21803,70.42,9
42535,Channel D,5877,67497,79.45,19
42534,Channel A,3276,62512,73.04,5
42534,Channel B,343,4138,74.31,21
42534,Channel C,4888,39393,67.77,10
42534,Channel D,5821,67373,77.93,15
42533,Channel A,1541,23419,71.54,9
42533,Channel B,234,1537,72.79,19
42533,Channel C,1012,13229,73.3,6
42533,Channel D,2640,23872,77.35,19
42532,Channel A,1406,22289,77.26,9
42532,Channel B,431,1107,72.1,22
42532,Channel C,2302,19061,75.07,9
42532,Channel D,2688,21197,78.44,14
42531,Channel A,2527,43781,76.78,6
42531,Channel B,1564,3860,79.62,19
42531,Channel C,2410,25194,74.77,6
42531,Channel D,5030,54884,81.79,10
42530,Channel A,2864,51953,77.64,9
42530,Channel B,209,2638,84.54,25
42530,Channel C,3538,37288,76.91,9
42530,Channel D,5555,61935,81.87,15
42529,Channel A,3192,57913,76.07,5
42529,Channel B,227,3127,81.42,17
42529,Channel C,4502,38810,68.17,10
42529,Channel D,5965,67883,80.13,19
42528,Channel A,3135,57942,76.06,9
42528,Channel B,203,2861,77.41,22
42528,Channel C,1585,20762,69.43,5
42528,Channel D,5796,63816,81.36,11
42527,Channel A,3192,54410,73.18,10
42527,Channel B,209,2550,79.3,33
42527,Channel C,4880,36666,65.07,7
42527,Channel D,5951,65590,81.05,12
42526,Channel A,1668,26797,71.94,10
42526,Channel B,95,1301,87.43,33
42526,Channel C,1026,13254,72.86,7
42526,Channel D,2841,27995,80.56,14
42525,Channel A,1522,23736,73.59,5
42525,Channel B,79,981,73,29
42525,Channel C,2547,20359,71.53,12
42525,Channel D,2859,23724,80.1,20
42524,Channel A,2649,48932,77.29,7
42524,Channel B,178,2554,80.63,24
42524,Channel C,1479,20842,75.78,5
42524,Channel D,5239,55627,82.37,20
42523,Channel A,3120,54039,76.69,5
42523,Channel B,206,3870,84.86,34
42523,Channel C,4280,40963,73.19,9
42523,Channel D,5868,61961,83.17,20
42522,Channel A,3326,60532,75.51,9
42522,Channel B,202,2567,79.81,30
42522,Channel C,3630,29968,69.45,9
42522,Channel D,5993,66812,82.07,18
42521,Channel A,3084,56921,76.46,4
42521,Channel B,196,2795,76.62,22
42521,Channel C,3720,28840,68.35,10
42521,Channel D,5722,64441,80.25,19
42520,Channel A,1636,25202,72.72,8
42520,Channel B,90,690,68.46,30
42520,Channel C,736,9789,74.71,12
42520,Channel D,2717,26284,81.36,20
42519,Channel A,1088,15238,75.58,3
42519,Channel B,69,626,72.48,31
42519,Channel C,742,7849,75.36,11
42519,Channel D,2065,15364,79.82,19
42518,Channel A,1250,17744,74.53,7
42518,Channel B,96,953,73.57,32
42518,Channel C,2181,16539,74.74,10
42518,Channel D,2539,19888,78.92,19
42517,Channel A,2265,36949,76.82,10
42517,Channel B,167,1757,77.87,27
42517,Channel C,1290,16071,75.41,6
42517,Channel D,4552,51285,84.13,10
42516,Channel A,2828,50664,80.33,6
42516,Channel B,271,2465,84.17,34
42516,Channel C,4108,36395,75.6,8
42516,Channel D,5600,62844,83.07,12
42515,Channel A,3120,57763,78.55,7
42515,Channel B,430,2546,70.72,24
42515,Channel C,3973,29015,68.69,5
42515,Channel D,5781,64904,81.8,17
42514,Channel A,3200,57888,76.62,10
42514,Channel B,234,2431,72.36,30
42514,Channel C,1763,20330,71.42,6
42514,Channel D,6153,68550,82.08,12
42513,Channel A,3213,57324,72.86,4
42513,Channel B,213,2636,80.76,19
42513,Channel C,5286,35934,66.9,7
42513,Channel D,6230,74707,80.35,15
42512,Channel A,1574,24092,72.74,8
42512,Channel B,92,769,72.79,33
42512,Channel C,873,10511,73.73,9
42512,Channel D,2895,26388,79.1,12
42511,Channel A,1500,22671,76.68,9
42511,Channel B,118,752,74.6,16
42511,Channel C,2088,17758,78.88,8
42511,Channel D,3064,24474,81.19,17
42510,Channel A,2641,47018,78.74,7
42510,Channel B,222,2991,87.78,21
42510,Channel C,1323,18942,78.93,12
42510,Channel D,5572,57670,82.12,18
42509,Channel A,3021,51021,77.25,4
42509,Channel B,286,3302,78.17,28
42509,Channel C,3043,31814,80.43,5
42509,Channel D,6432,66817,81.74,15
42508,Channel A,3356,59385,76.89,10
42508,Channel B,279,2659,76.93,34
42508,Channel C,4152,33475,68.78,12
42508,Channel D,6639,72499,82.09,12
42507,Channel A,3438,56905,74.7,10
42507,Channel B,320,3348,80.17,30
42507,Channel C,1589,17986,74.05,5
42507,Channel D,6828,71925,79.58,17
42506,Channel A,3682,61461,74.4,6
42506,Channel B,341,3898,75.89,31
42506,Channel C,5477,36592,65.61,12
42506,Channel D,6878,72819,79.93,14
42505,Channel A,1855,26697,77.03,4
42505,Channel B,174,1210,72,18
42505,Channel C,912,10727,77.87,8
42505,Channel D,3386,27319,79.49,17
42504,Channel A,1812,24290,73.55,5
42504,Channel B,200,1526,73.93,20
42504,Channel C,2077,15905,74.97,8
42504,Channel D,3524,24012,82.41,20
42503,Channel A,3276,56184,74.84,8
42503,Channel B,363,2502,77.81,16
42503,Channel C,1352,17465,77.91,8
42503,Channel D,6320,60916,82.14,10
42502,Channel A,3492,51977,76.53,7
42502,Channel B,444,3398,77.79,15
42502,Channel C,2855,27972,79.94,9
42502,Channel D,7319,69454,83.16,15
42501,Channel A,3661,55961,76.5,9
42501,Channel B,445,3681,87.14,27
42501,Channel C,2387,25575,80.36,10
42501,Channel D,7440,66991,81.9,17
42500,Channel A,4600,63697,75.87,8
42500,Channel B,605,3828,76.69,35
42500,Channel C,1863,19568,82.52,12
42500,Channel D,9600,84233,80.17,14
42499,Channel A,5762,78274,75.71,6
42499,Channel B,1235,8499,69.71,20
42499,Channel C,3483,31864,77.91,6
42499,Channel D,12146,94975,79.15,11
42498,Channel A,7525,76571,76.14,8
42498,Channel B,1312,8463,68.61,33
42498,Channel C,3640,21805,78.05,11
42498,Channel D,16656,104076,79.25,20
42497,Channel A,18731,266877,79.7,10
42497,Channel B,3192,30800,77.5,16
42497,Channel C,17129,185869,81.11,7
42497,Channel D,29413,300788,83.32,18
42496,Channel A,31766,519475,79.1,10
42496,Channel B,6392,91110,76.05,29
42496,Channel C,28584,427049,79.16,12
42496,Channel D,42460,559540,82.17,18
42495,Channel A,31745,568593,75.4,4
42495,Channel B,14667,170627,74.79,24
42495,Channel C,29583,483702,75.59,9
42495,Channel D,39417,585276,78.34,15
42494,Channel A,31295,554400,73.13,3
42494,Channel B,7464,127738,74.52,26
42494,Channel C,33952,584111,74.46,5
42494,Channel D,37835,586219,79.56,20
42493,Channel A,27208,470327,73.85,10
42493,Channel B,9174,145237,73.28,23
42493,Channel C,32486,506675,74.26,7
42493,Channel D,32547,469478,79.14,12
42492,Channel A,21476,344117,73.49,6
42492,Channel B,18069,202530,70.65,35
42492,Channel C,27064,308629,70.37,12
42492,Channel D,28398,368754,77.49,10
42491,Channel A,12892,162670,73.13,3
42491,Channel B,1568,16627,75.63,22
42491,Channel C,17512,195332,73.23,6
42491,Channel D,13575,153229,78.13,15
42490,Channel A,7673,99092,75.59,5
42490,Channel B,1447,11545,73.56,27
42490,Channel C,12204,101766,73.67,6
42490,Channel D,9397,86750,78.78,18
42489,Channel A,10385,128128,75.81,8
42489,Channel B,3526,21643,76.04,24
42489,Channel C,10869,102800,73.29,9
42489,Channel D,13850,137124,77.57,17
42488,Channel A,8329,115028,76.37,7
42488,Channel B,4270,18154,73.87,31
42488,Channel C,12243,116121,74.03,7
42488,Channel D,13665,123128,78.09,12
42487,Channel A,8020,114840,77.93,9
42487,Channel B,1546,11423,72.34,33
42487,Channel C,12838,96849,69.27,11
42487,Channel D,13695,135017,81.67,12
42486,Channel A,7484,112485,78.51,6
42486,Channel B,2591,15925,75.4,15
42486,Channel C,10701,81323,73.12,10
42486,Channel D,12372,139421,82.87,20
42485,Channel A,6855,99948,78.69,5
42485,Channel B,6900,22031,73.79,20
42485,Channel C,14132,84890,70.29,10
42485,Channel D,11191,112159,80.08,13
42484,Channel A,3091,41497,75.5,4
42484,Channel B,302,2667,69.46,19
42484,Channel C,13010,42938,74.48,8
42484,Channel D,5408,43123,82.12,13
42483,Channel A,2714,35656,77.14,6
42483,Channel B,366,2456,77.52,25
42483,Channel C,5012,26034,72.32,8
42483,Channel D,4698,30797,80.1,19
42482,Channel A,4037,61070,79.32,6
42482,Channel B,1034,5424,77.93,24
42482,Channel C,4098,39290,80.01,10
42482,Channel D,8018,77652,84.48,12
42481,Channel A,4488,69075,77.45,6
42481,Channel B,386,2555,81.88,22
42481,Channel C,5388,44925,78.25,10
42481,Channel D,8899,88116,82.88,19
42480,Channel A,4361,68352,76.44,9
42480,Channel B,440,3733,71.35,17
42480,Channel C,5520,40320,71.01,7
42480,Channel D,8749,85313,82.02,18
42479,Channel A,4386,68010,76.18,9
42479,Channel B,621,3897,74.48,33
42479,Channel C,5734,46292,74.88,7
42479,Channel D,8484,80087,79.53,15
42478,Channel A,3974,56406,76.06,10
42478,Channel B,259,2395,70.29,31
42478,Channel C,4971,34228,68.7,6
42478,Channel D,7969,74305,79.67,10
42477,Channel A,2018,27744,75.16,8
42477,Channel B,125,1459,77.95,17
42477,Channel C,1445,13289,70.26,12
42477,Channel D,3947,29666,79.24,20
42476,Channel A,1875,24933,77.88,9
42476,Channel B,140,997,67.01,27
42476,Channel C,3000,20334,72.42,9
42476,Channel D,3836,26922,80.82,19
42475,Channel A,3075,50046,79.96,5
42475,Channel B,203,2182,77.06,31
42475,Channel C,1697,17882,73.92,5
42475,Channel D,6758,62118,82.96,10
42474,Channel A,3454,51640,76.79,10
42474,Channel B,179,2316,89.34,15
42474,Channel C,6260,37812,71.42,7
42474,Channel D,7242,68969,82.01,14
42473,Channel A,3677,57505,77.09,5
42473,Channel B,159,2108,82.84,24
42473,Channel C,4405,35388,70.28,11
42473,Channel D,7366,71867,80.63,11
42472,Channel A,3700,55287,76.68,6
42472,Channel B,166,1739,80.51,32
42472,Channel C,1860,20944,71.88,11
42472,Channel D,7473,71645,78.89,18
42471,Channel A,3966,56567,75.11,6
42471,Channel B,177,2402,80.72,25
42471,Channel C,4424,30599,67.67,10
42471,Channel D,7505,74904,79.09,17
42470,Channel A,1763,26614,76.16,9
42470,Channel B,88,1169,83.97,33
42470,Channel C,1285,13971,73.13,6
42470,Channel D,3740,28685,78.22,10
42469,Channel A,1789,23912,75.71,3
42469,Channel B,84,1163,67.31,18
42469,Channel C,3635,19686,69.16,11
42469,Channel D,3625,23627,79.52,15
42468,Channel A,2887,43354,76.87,5
42468,Channel B,159,1336,84.34,34
42468,Channel C,3772,23425,77.71,10
42468,Channel D,6090,56735,82.48,14
42467,Channel A,3361,50165,79.54,4
42467,Channel B,169,1836,76.5,26
42467,Channel C,4461,30809,69.31,12
42467,Channel D,6576,62412,83.35,15
42466,Channel A,3372,55940,76.62,10
42466,Channel B,192,2231,81.54,28
42466,Channel C,4311,31917,67.85,10
42466,Channel D,6880,65292,79.45,17
42465,Channel A,3208,55731,76.29,7
42465,Channel B,170,2382,88.6,20
42465,Channel C,1985,22666,71.22,5
42465,Channel D,6753,68750,81.47,16
42464,Channel A,3464,58727,74.38,10
42464,Channel B,152,2319,77.91,27
42464,Channel C,4335,31500,68.43,7
42464,Channel D,6986,73906,79.2,17
42463,Channel A,1640,25286,75.26,10
42463,Channel B,77,714,67.61,28
42463,Channel C,1028,11203,71.37,10
42463,Channel D,3382,27164,77,20
42462,Channel A,1605,21926,76.52,7
42462,Channel B,71,407,70.64,20
42462,Channel C,2590,16994,74.07,5
42462,Channel D,3382,23563,79.56,18
42461,Channel A,2880,44026,77.6,5
42461,Channel B,133,1292,79.18,27
42461,Channel C,3759,27854,71.2,5
42461,Channel D,5961,56443,81.49,13
42460,Channel A,3104,52758,79.7,3
42460,Channel B,329,2616,77.86,21
42460,Channel C,3481,29528,79.38,11
42460,Channel D,6542,69548,82.28,19
42459,Channel A,3172,50777,75.83,3
42459,Channel B,356,2183,84.22,30
42459,Channel C,3886,26905,68.69,11
42459,Channel D,6363,62446,80.11,13
42458,Channel A,3233,53665,75.75,4
42458,Channel B,357,1729,80.04,28
42458,Channel C,1521,16785,72.1,5
42458,Channel D,6365,63749,79.01,12
42457,Channel A,3365,54031,75.29,4
42457,Channel B,370,1445,75.25,26
42457,Channel C,4717,29652,68.41,12
42457,Channel D,6420,64554,80.63,15
42456,Channel A,1404,21000,76.35,8
42456,Channel B,212,429,68.67,35
42456,Channel C,761,7680,77.3,5
42456,Channel D,2884,22797,78.37,18
42455,Channel A,1754,29126,75.56,9
42455,Channel B,258,576,66.7,30
42455,Channel C,2559,23429,76.03,5
42455,Channel D,3984,31353,76.76,18
42454,Channel A,3250,55169,77.45,8
42454,Channel B,410,1840,75.15,26
42454,Channel C,4327,50979,77.69,12
42454,Channel D,6740,71430,82.26,16
42453,Channel A,3767,66005,77.91,4
42453,Channel B,400,2595,76.16,16
42453,Channel C,4797,58473,77.2,9
42453,Channel D,7541,83984,79.6,11
42452,Channel A,4031,66110,74.49,6
42452,Channel B,396,2978,76.59,31
42452,Channel C,7145,60956,70.05,5
42452,Channel D,7597,81461,77.56,18
42451,Channel A,4211,68699,74.85,8
42451,Channel B,372,2356,75.5,20
42451,Channel C,7546,83823,72.28,7
42451,Channel D,7782,84426,77.04,12
42450,Channel A,4047,69147,75.46,9
42450,Channel B,401,2887,70.75,17
42450,Channel C,7594,59404,67.19,9
42450,Channel D,7526,83557,78.27,16
42449,Channel A,2016,32372,73.55,3
42449,Channel B,227,1680,76.07,22
42449,Channel C,5332,47415,71.48,6
42449,Channel D,3881,35814,79.04,20
42448,Channel A,1675,23941,76.73,3
42448,Channel B,205,1289,70.69,20
42448,Channel C,3305,27106,75,8
42448,Channel D,3579,27732,79.14,11
42447,Channel A,2642,45136,79.02,3
42447,Channel B,326,2334,81.03,23
42447,Channel C,3455,29467,77.12,12
42447,Channel D,6004,59008,81.58,11
42446,Channel A,3054,51713,76.63,3
42446,Channel B,323,2061,78.08,35
42446,Channel C,5284,34648,73.96,5
42446,Channel D,6774,74436,82.09,18
42445,Channel A,3513,61159,75.98,10
42445,Channel B,358,2454,88.13,20
42445,Channel C,5601,34836,67.45,7
42445,Channel D,6953,76066,80.12,19
42444,Channel A,3217,58012,76.88,6
42444,Channel B,348,1961,81.69,20
42444,Channel C,1931,20093,67.85,8
42444,Channel D,6742,73922,81.48,11
42443,Channel A,3600,66008,76.27,3
42443,Channel B,366,2060,70.35,17
42443,Channel C,5748,37954,63.56,8
42443,Channel D,6791,75782,80.59,11
42442,Channel A,1682,26315,77.11,4
42442,Channel B,309,1436,78.71,16
42442,Channel C,1007,14592,77.95,12
42442,Channel D,3109,27060,77.54,15
42441,Channel A,1512,22357,77.37,5
42441,Channel B,306,1503,78.3,25
42441,Channel C,2534,22125,78.39,12
42441,Channel D,3121,23739,80.02,11
42440,Channel A,2868,45419,78.46,8
42440,Channel B,422,1852,82.1,25
42440,Channel C,1560,20892,81.97,5
42440,Channel D,5753,60987,81.97,19
42439,Channel A,3119,54734,79.68,7
42439,Channel B,483,2587,82.91,19
42439,Channel C,3770,37496,76.43,7
42439,Channel D,5820,61522,81.02,10
42438,Channel A,1718,24526,76.15,4
42438,Channel B,203,1036,79.97,25
42438,Channel C,3876,16325,66.69,8
42438,Channel D,2997,25495,80.6,18
42437,Channel A,2108,33459,75.44,8
42437,Channel B,234,1179,74.46,33
42437,Channel C,1271,12155,70.34,9
42437,Channel D,4501,45267,81.51,20
42436,Channel A,2128,36066,76.44,5
42436,Channel B,246,1376,73.52,23
42436,Channel C,4090,23219,67.47,7
42436,Channel D,4620,47265,81.31,14
42435,Channel A,1147,15005,70.09,6
42435,Channel B,180,477,76.52,25
42435,Channel C,738,7457,76.9,10
42435,Channel D,2490,20876,79.65,11
42434,Channel A,1068,14513,75.4,5
42434,Channel B,167,454,85.97,31
42434,Channel C,1947,11913,76.37,11
42434,Channel D,2589,19734,81.74,12
42433,Channel A,1917,29678,79.57,8
42433,Channel B,233,1018,75.76,15
42433,Channel C,1011,10642,76.98,9
42433,Channel D,4180,39573,82.2,13
42432,Channel A,3318,52649,76.33,4
42432,Channel B,466,2133,74.06,29
42432,Channel C,3840,35898,77.66,12
42432,Channel D,6954,73415,82.67,20
42431,Channel A,3668,62159,78.29,7
42431,Channel B,513,2476,80.58,17
42431,Channel C,4554,33362,70.92,8
42431,Channel D,6833,67601,81.31,20
42430,Channel A,3696,64820,77.12,3
42430,Channel B,526,2403,83.44,17
42430,Channel C,4349,34066,70.27,8
42430,Channel D,6923,74354,81.83,13
42429,Channel A,3558,59403,75.23,10
42429,Channel B,420,2905,78.6,33
42429,Channel C,3004,34544,73.89,6
42429,Channel D,6542,69192,79.51,15
42428,Channel A,1605,24241,73.09,7
42428,Channel B,239,819,71.06,28
42428,Channel C,845,10100,75.69,8
42428,Channel D,2988,25592,79.58,17
42427,Channel A,1542,22912,74,8
42427,Channel B,235,1040,69.88,33
42427,Channel C,2338,14794,74.99,7
42427,Channel D,3224,25020,80.94,14
42426,Channel A,2877,47342,77.48,4
42426,Channel B,338,1716,72.95,20
42426,Channel C,1298,15678,79.47,10
42426,Channel D,5823,59469,83.49,19
42425,Channel A,3277,52674,78.5,10
42425,Channel B,391,2290,82.25,32
42425,Channel C,3519,29286,78.02,10
42425,Channel D,6553,66095,83.91,11
42424,Channel A,3644,61859,77.03,9
42424,Channel B,431,2275,74.07,31
42424,Channel C,3319,19500,72.55,6
42424,Channel D,6411,60807,80.69,17
42423,Channel A,3669,59954,75.65,7
42423,Channel B,408,2431,76.75,32
42423,Channel C,1468,14491,71.88,12
42423,Channel D,6239,60464,80.75,11
42422,Channel A,3725,60959,76.83,9
42422,Channel B,398,2300,81.23,27
42422,Channel C,3828,25822,67.58,8
42422,Channel D,6354,61244,80.09,19
42421,Channel A,1897,26838,72.61,8
42421,Channel B,264,1279,76.12,17
42421,Channel C,753,8461,74.69,5
42421,Channel D,3186,25250,78.16,12
42420,Channel A,1668,24002,78.87,4
42420,Channel B,262,891,74.25,21
42420,Channel C,1697,13487,78.27,7
42420,Channel D,3321,23888,80.79,20
42419,Channel A,2929,46608,78.5,10
42419,Channel B,384,1901,67.13,27
42419,Channel C,1132,14069,84.47,5
42419,Channel D,5739,53308,83.19,14
42418,Channel A,3526,54574,79.73,6
42418,Channel B,471,2294,81.01,35
42418,Channel C,2547,25845,79.89,9
42418,Channel D,6676,62002,82.96,18
42417,Channel A,3662,58233,79.76,10
42417,Channel B,470,3187,79.04,15
42417,Channel C,2887,16633,74.68,6
42417,Channel D,7169,61226,81.71,13
42416,Channel A,3940,45341,77.49,9
42416,Channel B,556,2026,74.05,29
42416,Channel C,1243,7804,82.95,5
42416,Channel D,7902,52166,82.15,14
42415,Channel A,3648,48882,77.03,6
42415,Channel B,744,5866,70.23,25
42415,Channel C,2796,25124,83.21,12
42415,Channel D,8158,57868,82.07,16
42414,Channel A,5337,64236,89.82,3
42414,Channel B,1058,6525,75.95,35
42414,Channel C,4227,32338,98.64,5
42414,Channel D,14286,87520,96.07,11
42413,Channel A,8336,120628,94.41,8
42413,Channel B,2320,17349,83.67,17
42413,Channel C,9636,131984,101.84,5
42413,Channel D,18664,164273,102.47,12
42412,Channel A,13349,201230,91.84,7
42412,Channel B,4465,43248,86.05,22
42412,Channel C,14847,190971,93.97,5
42412,Channel D,28463,283625,98.73,12
42411,Channel A,14234,215033,86.4,7
42411,Channel B,5805,65333,85.18,34
42411,Channel C,19801,222199,81.51,12
42411,Channel D,25800,290215,91.04,18
42410,Channel A,14628,226078,83.01,9
42410,Channel B,4855,65599,80.91,22
42410,Channel C,19536,229468,81.66,9
42410,Channel D,22749,262582,88.42,17
42409,Channel A,14657,215895,83.54,6
42409,Channel B,6669,73756,80.07,26
42409,Channel C,16777,208131,83.35,11
42409,Channel D,20076,219751,85.88,10
